,rsi,macd_signal,macd_hist,sma_20,MSFT US Equity_news_heat,AAPL US Equity_news_heat,GOOGL US Equity_news_heat,return
2024-01-25,1.9475508033034996,1.033324953572604,1.6691268748009163,1.0270925316524357,2.3635325728312746,0.7500173564836351,0.28130321870033326,0.007893331131756387
2024-01-26,1.2188359246842873,1.1500222243463514,1.367204813444845,1.0351956487543152,0.9867321489897525,-0.42884421908734227,-0.836889142772783,0.012683530296166534
2024-01-29,1.440405337902701,1.2552185423192848,1.2308222436489171,1.0447720879144955,0.9507559747414261,-0.8600398215609056,-0.43348265385350765,0.0002973058651123406
2024-01-30,0.966926005630685,1.3313936435704647,0.8866778772067468,1.05335723682789,2.032758826864649,-0.6640876143620549,0.9633123140294833,-0.02740460601015171
2024-01-31,-0.01993565791467921,1.3495995382512116,0.19925749577997912,1.062669947862702,2.50821373401699,-0.8713738181212504,2.077722739668981,-0.01925539094373574
2024-02-01,0.35843238734253446,1.3454652874647313,-0.06566024635871882,1.0759841734559226,0.38911354223158445,0.4307764533672556,0.4893096895493346,0.002428799482605992
2024-02-02,0.6397182455931513,1.3393345432695543,-0.08933540670190336,1.0924177962336725,-0.3666449383807373,1.7477868536793246,-0.28346586578665217,-0.004420490718233916
2024-02-05,0.7004742175555941,1.331929774428394,-0.10444326413005625,1.109315238987583,-0.14017621559451074,-0.4717874727215377,-0.49273298191352627,-0.0007427765382475027
2024-02-06,0.48308935182429585,1.3133004941784219,-0.23754768922856737,1.1211652834899013,-0.23995186431918533,-0.690407673041078,0.12120126841049585,0.03419661311544342
2024-02-07,0.8503545336376173,1.3050014525129892,-0.1150478834155291,1.1351707036133851,-0.14017621559451074,-0.889760079208032,-0.3086787713441069,0.024529151076441824
2024-02-08,0.9325733107100792,1.3047044819200921,-0.020156352647334168,1.148293950283435,0.26151459327888765,-0.9309402667106181,1.1650155584891209,0.027689876674205305
2024-02-09,1.2623089826991176,1.3265265409016405,0.24213931511173797,1.1630451163239133,-0.8177706341709006,-1.5220711539801586,-0.11453939855170575,0.017562811488758268
2024-02-12,0.8682530090288996,1.3453622064976463,0.2067255531916829,1.1757954900354657,-1.3471898026957307,-1.509855624354009,-0.24060392633897912,0.004906473453677451
2024-02-13,0.10671457846969558,1.3311039487552832,-0.18571448092417422,1.1849263070349512,0.06468092050297287,-1.1844439897769976,-0.751165263877437,0.002152301314040095
2024-02-14,0.40870415717436953,1.3090495768584807,-0.27816369806465907,1.1968491007394673,-0.00895376707723443,-1.2859462256396412,0.22457418119606024,-0.0030719828876413224
2024-02-15,0.3185389101868254,1.2762748886986899,-0.40528918986459955,1.2048430730082176,1.6679500671307215,-0.9282956675132044,0.6418477681719357,-0.025356005349583488
2024-02-16,-0.06733973370245443,1.2206443071638118,-0.6763228622448231,1.20702575937247,0.29296139307148933,-1.323600280879009,-0.289769092176016,-0.027877427244512143
2024-02-20,-0.4542649253889689,1.1345179383180473,-1.0379532343922933,1.206534656692999,-0.23283427588876127,-0.3440911114749859,-0.5822387966424905,-0.01731112405485713
2024-02-21,-0.6764852069521332,1.0209382595121774,-1.36350478013017,1.2041610194453531,0.7035815401576017,0.2095116538503016,0.44392645954591614,0.004343965107423076
